,root,word,ipa_root,ipa_word,diff,reg,IsInParent,verb class
0,fawn,fawned,fɔn,fɔnd,-d,Reg,No,-d
1,understudy,understudied,əndərstədi,əndərstədid,-d,Reg,No,-d
2,pardon,pardoned,pɑrdən,pɑrdənd,-d,Reg,No,-d
3,retch,retched,rɛʧ,rɛʧt,-t,Reg,No,-t
4,predestine,predestined,pridɛstən,pridɛstənd,-d,Reg,No,-d
5,foul,fouled,faʊl,faʊld,-d,Reg,No,-d
6,hitch,hitched,hɪʧ,hɪʧt,-t,Reg,No,-t
7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t
8,preface,prefaced,prɛfəs,prɛfəst,-t,Reg,No,-t
9,intermingle,intermingled,ɪntərmɪŋgəl,ɪntərmɪŋgəld,-d,Reg,No,-d
10,hate,hated,heɪt,heɪtɪd,-ɪd,Reg,Yes,-ɪd
11,shamble,shambled,ʃæmbəl,ʃæmbəld,-d,Reg,No,-d
12,defraud,defrauded,dɪfrɔd,dɪfrɔdɪd,-ɪd,Reg,No,-ɪd
13,forget,forgot,fərgɛt,fərgɑt,ɛ-ɑ,Irreg,Yes,vowel change
14,muzzle,muzzled,məzəl,məzəld,-d,Reg,No,-d
15,ventilate,ventilated,vɛntɪleɪt,vɛntɪleɪtɪd,-ɪd,Reg,No,-ɪd
16,calculate,calculated,kælkjəleɪt,kælkjəleɪtɪd,-ɪd,Reg,No,-ɪd
17,swab,swabbed,swɑb,swɑbd,-d,Reg,No,-d
18,heighten,heightened,haɪtən,haɪtənd,-d,Reg,No,-d
19,scold,scolded,skoʊld,skoʊldɪd,-ɪd,Reg,No,-ɪd
20,quadruple,quadrupled,kwɑdrupəl,kwɑdrupəld,-d,Reg,No,-d
21,tickle,tickled,tɪkəl,tɪkəld,-d,Reg,Yes,-d
22,swat,swatted,swɑt,swɑtɪd,-ɪd,Reg,No,-ɪd
23,unroll,unrolled,ənroʊl,ənroʊld,-d,Reg,No,-d
24,hallucinate,hallucinated,həlusəneɪt,həlusəneɪtɪd,-ɪd,Reg,No,-ɪd
25,swap,swapped,swɔp,swɔpt,-t,Reg,Yes,-t
26,daze,dazed,deɪz,deɪzd,-d,Reg,No,-d
27,recycle,recycled,risaɪkəl,risaɪkəld,-d,Reg,No,-d
28,dapple,dappled,dæpəl,dæpəld,-d,Reg,No,-d
29,sway,swayed,sweɪ,sweɪd,-d,Reg,No,-d
30,whack,whacked,wæk,wækt,-t,Reg,No,-t
31,lure,lured,lʊr,lʊrd,-d,Reg,No,-d
32,collaborate,collaborated,kəlæbəreɪt,kəlæbəreɪtɪd,-ɪd,Reg,No,-ɪd
33,risk,risked,rɪsk,rɪskt,-t,Reg,No,-t
34,appall,appalled,əpɔl,əpɔld,-d,Reg,No,-d
35,dispense,dispensed,dɪspɛns,dɪspɛnst,-t,Reg,No,-t
36,blanket,blanketed,blæŋkət,blæŋkətɪd,-ɪd,Reg,No,-ɪd
37,lurk,lurked,lərk,lərkt,-t,Reg,No,-t
38,distort,distorted,dɪstɔrt,dɪstɔrtɪd,-ɪd,Reg,Yes,-ɪd
39,brutalize,brutalized,brutəlaɪz,brutəlaɪzd,-d,Reg,No,-d
40,smack,smacked,smæk,smækt,-t,Reg,No,-t
41,yellow,yellowed,jɛloʊ,jɛloʊd,-d,Reg,No,-d
42,govern,governed,gəvərn,gəvərnd,-d,Reg,No,-d
43,affect,affected,əfɛkt,əfɛktɪd,-ɪd,Reg,No,-ɪd
