No.,Verb.,Reg_pro,Reg_rate,Rule_reg_sim, Ana_reg_sim ,Irr_pro,Irr_rate,Rule_irr_sim, Ana_irr_sim ,Reg_Pro,ipa_root
1,bize,0.667,5.304,0.988,0.53,0.231,4.565,0.121,0.023,0.966666667,baɪz
2,dize,0.821,5.417,0.988,0.555,0.154,5.042,0.554,0.04,0.966666667,daɪz
3,drice,0.953,6.261,0.998,0.417,0.047,4.478,0.848,0.053,1,draɪs
4,flidge,0.857,6.208,0.995,0.403,0.024,4.875,0.2,0.03,1,flɪʤ
5,fro,0.886,5.833,0.943,0.619,0.091,4.333,0.724,0.065,0.8,froʊ
6,gare,0.976,6.565,0.985,0.653,0,3.391,0.257,0.047,1,geɪr
7,glip,0.925,5.955,0.988,0.507,0.025,3.455,0.059,0.014,1,glɪp
8,rife,0.854,5.952,0.998,0.284,0.098,4.143,0.473,0.061,0.9,raɪf
9,stin,0.698,5.304,0.972,0.576,0.186,4.783,0.28,0.095,0.8,stɪn
10,stip,0.841,5.917,0.988,0.532,0.045,4.5,0.149,0.05,0.833333333,stɪp
11,blig,0.775,5.667,0.961,0.398,0.075,4.167,0.88,0.028,1,blɪg
12,chake,0.881,5.739,0.9,0.462,0,5.043,0.835,0.04,1,ʧeɪk
13,drit,0.707,4.957,0.944,0.352,0.073,5.13,0.477,0.031,0.966666667,drɪt
14,fleep,0.721,5,0.963,0.433,0.233,6.087,0.848,0.067,0.666666667,flip
15,gleed,0.561,4.217,0.872,0.306,0.244,6,0.793,0.083,0.733333333,glid
16,glit,0.643,5,0.944,0.374,0.143,5.208,0.669,0.057,0.933333333,glɪt
17,queed,0.524,4.652,0.872,0.293,0.214,5.348,0.348,0.029,0.7,kwid
18,plim,0.81,6.13,0.966,0.557,0.071,4.174,0.411,0.03,1,plɪm
19,skride,0.405,4.174,0.887,0.228,0.19,4.391,0.731,0.107,0.833333333,skraɪd
20,spling,0.514,4.364,0.925,0.369,0.324,5.455,0.88,0.192,0.466666667,splɪŋ
21,teep,0.884,5.913,0.963,0.448,0.047,4.696,0.559,0.043,0.866666667,tip
22,gude,0.556,4.9,0.989,0.34,0.333,5.55,0.014,0.017,0.733333333,gud
23,nung,0.824,5.368,0.925,0.559,0.059,4.316,0,0.005,0.566666667,nəŋ
24,pank,0.9,6.304,0.958,0.546,0.075,4,0,0.005,1,pæŋk
25,preak,0.841,5.833,0.941,0.507,0.136,3.917,0.033,0.01,0.8,prik
26,rask,0.93,6.417,0.982,0.603,0.023,4.083,0,0.001,1,ræsk
27,shilk,0.975,5.792,0.982,0.315,0,3.667,0,0.034,1,ʃɪlk
28,tark,0.93,6.333,0.982,0.464,0.023,3.708,0,0,1,tɑrk
29,tunk,0.907,5.667,0.958,0.507,0.047,3.917,0,0.001,0.966666667,təŋk
30,trisk,0.897,6.286,0.982,0.585,0.051,3.762,0,0.02,0.966666667,trɪsk
31,blafe,0.892,6.318,0.998,0.308,0.027,4.091,0,0,0.966666667,bleɪf
32,bredge,0.927,6.333,0.995,0.522,0.049,3.429,0,0,1,brɛʤ
33,chool,0.977,6.125,0.992,0.686,0.023,3.708,0,0.025,0.866666667,ʧul
34,dape,0.976,6.25,0.993,0.434,0,4,0,0,1,deɪp
35,ghez,0.976,6.609,0.988,0.536,0,2.522,0,0.012,1,gɛz
36,nace,1,6.565,0.998,0.437,0,2.913,0.046,0.005,1,neɪs
37,spack,0.86,6.217,0.984,0.505,0.07,3.957,0,0.001,1,spæk
38,stire,0.902,6,0.985,0.657,0.049,3.217,0,0.022,1,staɪr
39,tesh,0.925,6.217,0.998,0.443,0,3.13,0,0.004,0.9,tɛʃ
40,whiss,0.951,6.565,0.998,0.47,0.024,3.348,0,0.017,0.966666667,wɪs
41,nold,0.525,4.636,0.9,0.427,0.35,6.045,0.014,0.008,0.933333333,noʊld
42,grell,0.902,5.857,0.974,0.62,0.073,4.905,0.09,0.189,1,grɛl
43,murn,0.952,6.565,0.985,0.659,0.048,4.739,0.466,0.169,1,mərn
44,shurn,0.9,6.565,0.985,0.664,0,4.217,0.012,0.155,1,ʃərn
45,scoil,0.946,6.45,0.979,0.726,0,5.15,0.051,0.13,1,skoʊl
46,skell,0.8,6.045,0.974,0.643,0.125,5.318,0.09,0.169,1,skɛl
47,squill,0.85,5.917,0.974,0.661,0.025,5.208,0.09,0.166,1,skwɪl
48,snell,0.881,6.174,0.974,0.623,0.071,5.304,0.09,0.171,1,snɛl
49,kive,0.905,6,0.955,0.53,0.048,4.409,0,0.033,1,kɪv
50,lum,0.905,6.348,0.966,0.612,0,2.87,0,0.01,1,ləm
51,pum,0.902,6.167,0.966,0.587,0,2.708,0,0.02,0.966666667,pəm
52,shee,0.929,6.167,0.979,0.535,0,3.25,0,0.04,0.966666667,ʃi
53,zay,0.977,6.391,0.992,0.566,0,4.391,0,0.024,1,zeɪ
54,flet,0.622,4.5,0.944,0.381,0.297,5.65,0.9,0.055,1,flɛt
55,gry'nt,0.683,5.261,0.997,0.442,0.049,4.174,0,0.026,0.8,graɪnt
56,ry'nt,0.476,5,0.997,0.418,0.19,4.292,0,0.057,0.966666667,raɪnt
57,shy'nt,0.571,5.174,0.997,0.413,0.071,3.826,0,0.047,0.9,ʃaɪnt
58,chind,0.306,3.895,0.872,0.387,0.5,6,0.014,0.008,0.933333333,ʧaɪnd
