,index,word,root,freq,ipa_word,diff,verb class,ipa_root,reg
0,0,added,add,2,ædɪd,-ɪd,-ɪd,æd,Reg
1,0,added,add,2,ædɪd,-ɪd,-ɪd,æd,Reg
2,1,agreed,agree,2,əgrid,-d,-d,əgri,Reg
3,1,agreed,agree,2,əgrid,-d,-d,əgri,Reg
4,2,allowed,allow,5,əlaʊd,-d,-d,əlaʊ,Reg
5,2,allowed,allow,5,əlaʊd,-d,-d,əlaʊ,Reg
6,2,allowed,allow,5,əlaʊd,-d,-d,əlaʊ,Reg
7,2,allowed,allow,5,əlaʊd,-d,-d,əlaʊ,Reg
8,2,allowed,allow,5,əlaʊd,-d,-d,əlaʊ,Reg
9,3,amazed,amaze,1,əmeɪzd,-d,-d,əmeɪz,Reg
10,4,annotated,annotate,1,ænəteɪtɪd,-ɪd,-ɪd,ænəteɪt,Reg
11,5,answered,answer,2,ænsərd,-d,-d,ænsər,Reg
12,5,answered,answer,2,ænsərd,-d,-d,ænsər,Reg
13,6,apologized,apologize,1,əpɑləʤaɪzd,-d,-d,əpɑləʤaɪz,Reg
14,7,argued,argue,1,ɑrgjud,-d,-d,ɑrgju,Reg
15,8,arranged,arrange,1,əreɪnʤd,-d,-d,əreɪnʤ,Reg
16,9,arrived,arrive,2,əraɪvd,-d,-d,əraɪv,Reg
17,9,arrived,arrive,2,əraɪvd,-d,-d,əraɪv,Reg
18,10,asked,ask,46,æskt,-t,-t,æsk,Reg
19,10,asked,ask,46,æskt,-t,-t,æsk,Reg
20,10,asked,ask,46,æskt,-t,-t,æsk,Reg
21,10,asked,ask,46,æskt,-t,-t,æsk,Reg
22,10,asked,ask,46,æskt,-t,-t,æsk,Reg
23,10,asked,ask,46,æskt,-t,-t,æsk,Reg
24,10,asked,ask,46,æskt,-t,-t,æsk,Reg
25,10,asked,ask,46,æskt,-t,-t,æsk,Reg
26,10,asked,ask,46,æskt,-t,-t,æsk,Reg
27,10,asked,ask,46,æskt,-t,-t,æsk,Reg
28,10,asked,ask,46,æskt,-t,-t,æsk,Reg
29,10,asked,ask,46,æskt,-t,-t,æsk,Reg
30,10,asked,ask,46,æskt,-t,-t,æsk,Reg
31,10,asked,ask,46,æskt,-t,-t,æsk,Reg
32,10,asked,ask,46,æskt,-t,-t,æsk,Reg
33,10,asked,ask,46,æskt,-t,-t,æsk,Reg
34,10,asked,ask,46,æskt,-t,-t,æsk,Reg
35,10,asked,ask,46,æskt,-t,-t,æsk,Reg
36,10,asked,ask,46,æskt,-t,-t,æsk,Reg
37,10,asked,ask,46,æskt,-t,-t,æsk,Reg
38,10,asked,ask,46,æskt,-t,-t,æsk,Reg
39,10,asked,ask,46,æskt,-t,-t,æsk,Reg
40,10,asked,ask,46,æskt,-t,-t,æsk,Reg
41,10,asked,ask,46,æskt,-t,-t,æsk,Reg
42,10,asked,ask,46,æskt,-t,-t,æsk,Reg
43,10,asked,ask,46,æskt,-t,-t,æsk,Reg
44,10,asked,ask,46,æskt,-t,-t,æsk,Reg
45,10,asked,ask,46,æskt,-t,-t,æsk,Reg
46,10,asked,ask,46,æskt,-t,-t,æsk,Reg
47,10,asked,ask,46,æskt,-t,-t,æsk,Reg
48,10,asked,ask,46,æskt,-t,-t,æsk,Reg
49,10,asked,ask,46,æskt,-t,-t,æsk,Reg
50,10,asked,ask,46,æskt,-t,-t,æsk,Reg
51,10,asked,ask,46,æskt,-t,-t,æsk,Reg
52,10,asked,ask,46,æskt,-t,-t,æsk,Reg
53,10,asked,ask,46,æskt,-t,-t,æsk,Reg
54,10,asked,ask,46,æskt,-t,-t,æsk,Reg
55,10,asked,ask,46,æskt,-t,-t,æsk,Reg
56,10,asked,ask,46,æskt,-t,-t,æsk,Reg
57,10,asked,ask,46,æskt,-t,-t,æsk,Reg
58,10,asked,ask,46,æskt,-t,-t,æsk,Reg
59,10,asked,ask,46,æskt,-t,-t,æsk,Reg
60,10,asked,ask,46,æskt,-t,-t,æsk,Reg
61,10,asked,ask,46,æskt,-t,-t,æsk,Reg
62,10,asked,ask,46,æskt,-t,-t,æsk,Reg
63,10,asked,ask,46,æskt,-t,-t,æsk,Reg
64,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
65,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
66,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
67,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
68,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
69,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
70,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
71,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
72,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
73,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
74,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
75,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
76,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
77,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
78,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
79,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
80,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
81,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
82,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
83,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
84,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
85,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
86,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
87,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
88,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
89,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
90,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
91,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
92,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
93,11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
