,index,root,word,ipa_root,ipa_word,diff,reg,IsInParent,verb class,freq,level_0
0,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
1,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
2,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
3,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
4,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
5,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
6,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
7,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
8,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
9,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
10,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
11,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
12,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
13,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
14,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
15,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
16,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
17,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
18,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
19,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
20,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
21,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
22,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
23,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
24,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
25,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
26,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
27,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
28,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
29,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
30,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
31,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
32,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
33,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
34,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
35,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
36,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
37,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
38,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
39,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
40,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
41,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
42,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
43,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
44,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
45,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
46,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
47,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
48,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
49,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
50,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
51,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
52,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
53,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
54,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
55,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
56,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
57,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
58,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
59,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
60,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
61,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
62,7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0,7
