,root,word,ipa_root,ipa_word,diff,reg,IsInParent,verb class,freq
0,fawn,fawned,fɔn,fɔnd,-d,Reg,No,-d,1.0
1,understudy,understudied,əndərstədi,əndərstədid,-d,Reg,No,-d,1.0
2,pardon,pardoned,pɑrdən,pɑrdənd,-d,Reg,No,-d,2.0
3,retch,retched,rɛʧ,rɛʧt,-t,Reg,No,-t,1.0
4,predestine,predestined,pridɛstən,pridɛstənd,-d,Reg,No,-d,2.0
5,foul,fouled,faʊl,faʊld,-d,Reg,No,-d,5.0
6,hitch,hitched,hɪʧ,hɪʧt,-t,Reg,No,-t,7.0
7,sleep,slept,slip,slɛpt,i-ɛt,Irreg,Yes,vowel change + t,120.0
8,preface,prefaced,prɛfəs,prɛfəst,-t,Reg,No,-t,2.0
9,intermingle,intermingled,ɪntərmɪŋgəl,ɪntərmɪŋgəld,-d,Reg,No,-d,2.0
10,hate,hated,heɪt,heɪtɪd,-ɪd,Reg,Yes,-ɪd,132.0
11,shamble,shambled,ʃæmbəl,ʃæmbəld,-d,Reg,No,-d,2.0
12,defraud,defrauded,dɪfrɔd,dɪfrɔdɪd,-ɪd,Reg,No,-ɪd,1.0
13,forget,forgot,fərgɛt,fərgɑt,ɛ-ɑ,Irreg,Yes,vowel change,104.0
14,muzzle,muzzled,məzəl,məzəld,-d,Reg,No,-d,1.0
15,ventilate,ventilated,vɛntɪleɪt,vɛntɪleɪtɪd,-ɪd,Reg,No,-ɪd,3.0
16,calculate,calculated,kælkjəleɪt,kælkjəleɪtɪd,-ɪd,Reg,No,-ɪd,68.0
17,swab,swabbed,swɑb,swɑbd,-d,Reg,No,-d,1.0
18,heighten,heightened,haɪtən,haɪtənd,-d,Reg,No,-d,15.0
19,scold,scolded,skoʊld,skoʊldɪd,-ɪd,Reg,No,-ɪd,7.0
20,quadruple,quadrupled,kwɑdrupəl,kwɑdrupəld,-d,Reg,No,-d,2.0
21,tickle,tickled,tɪkəl,tɪkəld,-d,Reg,Yes,-d,5.0
22,swat,swatted,swɑt,swɑtɪd,-ɪd,Reg,No,-ɪd,1.0
23,unroll,unrolled,ənroʊl,ənroʊld,-d,Reg,No,-d,6.0
24,hallucinate,hallucinated,həlusəneɪt,həlusəneɪtɪd,-ɪd,Reg,No,-ɪd,1.0
25,swap,swapped,swɔp,swɔpt,-t,Reg,Yes,-t,7.0
26,daze,dazed,deɪz,deɪzd,-d,Reg,No,-d,24.0
27,recycle,recycled,risaɪkəl,risaɪkəld,-d,Reg,No,-d,10.0
28,dapple,dappled,dæpəl,dæpəld,-d,Reg,No,-d,2.0
29,sway,swayed,sweɪ,sweɪd,-d,Reg,No,-d,25.0
30,whack,whacked,wæk,wækt,-t,Reg,No,-t,2.0
31,lure,lured,lʊr,lʊrd,-d,Reg,No,-d,9.0
32,collaborate,collaborated,kəlæbəreɪt,kəlæbəreɪtɪd,-ɪd,Reg,No,-ɪd,6.0
33,risk,risked,rɪsk,rɪskt,-t,Reg,No,-t,13.0
34,appall,appalled,əpɔl,əpɔld,-d,Reg,No,-d,32.0
35,dispense,dispensed,dɪspɛns,dɪspɛnst,-t,Reg,No,-t,10.0
36,blanket,blanketed,blæŋkət,blæŋkətɪd,-ɪd,Reg,No,-ɪd,3.0
37,lurk,lurked,lərk,lərkt,-t,Reg,No,-t,6.0
38,distort,distorted,dɪstɔrt,dɪstɔrtɪd,-ɪd,Reg,Yes,-ɪd,35.0
