,word,root,size,ipa_word,diff,verb class,ipa_root,reg
0,added,add,2,ædɪd,-ɪd,-ɪd,æd,Reg
1,agreed,agree,2,əgrid,-d,-d,əgri,Reg
2,allowed,allow,5,əlaʊd,-d,-d,əlaʊ,Reg
3,amazed,amaze,1,əmeɪzd,-d,-d,əmeɪz,Reg
4,annotated,annotate,1,ænəteɪtɪd,-ɪd,-ɪd,ænəteɪt,Reg
5,answered,answer,2,ænsərd,-d,-d,ænsər,Reg
6,apologized,apologize,1,əpɑləʤaɪzd,-d,-d,əpɑləʤaɪz,Reg
7,argued,argue,1,ɑrgjud,-d,-d,ɑrgju,Reg
8,arranged,arrange,1,əreɪnʤd,-d,-d,əreɪnʤ,Reg
9,arrived,arrive,2,əraɪvd,-d,-d,əraɪv,Reg
10,asked,ask,46,æskt,-t,-t,æsk,Reg
11,ate,eat,95,eɪt,i-eɪ,vowel change,it,Irreg
12,attached,attach,2,ətæʧt,-t,-t,ətæʧ,Reg
13,attacked,attack,1,ətækt,-t,-t,ətæk,Reg
14,awoke,awake,1,əwoʊk,eɪ-oʊ,vowel change,əweɪk,Irreg
15,backed,back,1,bækt,-t,-t,bæk,Reg
16,baked,bake,4,beɪkt,-t,-t,beɪk,Reg
17,banged,bang,34,bæŋd,-d,-d,bæŋ,Reg
18,barked,bark,1,bɑrkt,-t,-t,bɑrk,Reg
19,based,base,1,beɪst,-t,-t,beɪs,Reg
20,battered,batter,1,bætərd,-d,-d,bætər,Reg
21,bawled,bawl,1,bɔld,-d,-d,bɔl,Reg
22,began,begin,7,bɪgæn,ɪ-æ,vowel change,bɪgɪn,Irreg
23,belonged,belong,1,bɪlɔŋd,-d,-d,bɪlɔŋ,Reg
24,bent,bend,7,bɛnt,d-t,weak,bɛnd,Irreg
25,bit,bite,71,bɪt,aɪ-ɪ,vowel change,baɪt,Irreg
26,blamed,blamd,3,bleɪmd,-d,-d,bleɪm,Reg
27,bleated,bleat,1,blitɪd,-ɪd,-ɪd,blit,Reg
28,bloomed,bloom,1,blumd,-d,-d,blum,Reg
29,boiled,boil,3,bɔɪld,-d,-d,bɔɪl,Reg
30,bored,bore,1,bɔrd,-d,-d,bɔr,Reg
31,bought,buy,136,bɔt,aɪ-ɔt,ruckumlaut,baɪ,Irreg
32,broke,break,133,broʊk,eɪ-oʊ,vowel change,breɪk,Irreg
33,brought,bring,84,brɔt,ɪŋ-ɔt,ruckumlaut,brɪŋ,Irreg
34,brushed,brush,6,brʌʃt,-t,-t,brʌʃ,Reg
35,bubbled,bubble,2,bʌbəld,-d,-d,bʌbəl,Reg
36,bumped,bump,24,bʌmpt,-t,-t,bʌmp,Reg
